"TC_retailer_code";"total_loyality"
6920;32
6901;27
4904;26
9999;20
7003;18
6905;15
5850;14
5853;13
6904;11
6999;10
5899;10
181;10
4914;10
42;9
5999;9
4903;9
9101;8
5851;8
8799;7
130;7
32;6
8399;6
7099;6
6205;5
9099;5
239;5
9899;5
3999;5
9302;5
7005;5
240;4
4999;4
9103;4
9399;4
7299;4
6600;4
3997;4
34;4
248;4
79;4
6919;3
156;3
8001;3
174;3
6921;3
6799;3
6199;3
9199;3
6899;3
7010;3
89;3
9;3
4599;3
184;3
9299;3
7697;2
843;2
272;2
7499;2
151;2
60;2
229;2
117;2
7006;2
6;2
265;2
158;2
4405;2
4823;2
9104;2
183;2
4814;2
9699;2
7011;2
7698;2
5599;2
111;2
839;2
817;2
313;2
4901;2
219;1
129;1
40;1
120;1
257;1
4401;1
77;1
844;1
5399;1
144;1
5906;1
194;1
275;1
9016;1
6402;1
201;1
6916;1
296;1
6501;1
6249;1
9002;1
6403;1
527;1
53;1
354;1
164;1
4840;1
92;1
9306;1
45;1
4099;1
7750;1
4402;1
8107;1
4918;1
199;1
124;1
815;1
29;1
241;1
6918;1
849;1
5852;1
68;1
351;1
9304;1
4699;1
210;1
5799;1
136;1
63;1
4817;1
4826;1
338;1
62;1
254;1
128;1
209;1
818;1
236;1
61;1
857;1
304;1
7199;1
182;1
5299;1
186;1
5855;1
5699;1
252;1
285;1
6924;1
8102;1
153;1
221;1
126;1
379;1
4939;1
800;1
4908;1
427;1
7013;1
4809;1
